z_cm,q_Wm3
-8.000000000000000000e+01,5.347538360417396761e+06
-7.407407407407407618e+01,6.570092294003793038e+06
-6.814814814814815236e+01,7.849503874338178895e+06
-6.222222222222222143e+01,9.040685572764046490e+06
-5.629629629629629761e+01,1.023486675081011280e+07
-5.037037037037037379e+01,1.119054835210348293e+07
-4.444444444444444287e+01,1.204476343277651817e+07
-3.851851851851851904e+01,1.285391500956135057e+07
-3.259259259259259522e+01,1.367440864054358751e+07
-2.666666666666667140e+01,1.438064725561594218e+07
-2.074074074074074758e+01,1.477790131623883918e+07
-1.481481481481482376e+01,1.499732998747604154e+07
-8.888888888888885731e+00,1.541547684117123112e+07
-2.962962962962961910e+00,1.552029382220790721e+07
2.962962962962961910e+00,1.536110030638287030e+07
8.888888888888885731e+00,1.513005789156454802e+07
1.481481481481480955e+01,1.470019841601816937e+07
2.074074074074073337e+01,1.443468115833347850e+07
2.666666666666665719e+01,1.408671426954388805e+07
3.259259259259258101e+01,1.336792465949886665e+07
3.851851851851850483e+01,1.268134500206138194e+07
4.444444444444444287e+01,1.169494617868075334e+07
5.037037037037035248e+01,1.085932600718200207e+07
5.629629629629627630e+01,9.794111693660566583e+06
6.222222222222222854e+01,8.765749830631187186e+06
6.814814814814815236e+01,7.581081973058581352e+06
7.407407407407407618e+01,6.481523363075748086e+06
8.000000000000000000e+01,5.237341814353613183e+06
