#           x             T           U_x           U_y           U_z
            0        288.15             0             0             0
   0.00217143       289.572  -4.60169e-06     -0.110299   -0.00079453
   0.00434286        290.85  -1.78274e-05     -0.159115   -0.00106516
   0.00651429       291.752  -3.54809e-05      -0.16739   -0.00105009
   0.00868571       292.267  -5.32464e-05     -0.160994   -0.00095643
    0.0108571       292.574  -7.03023e-05     -0.152163  -0.000863319
    0.0130286       292.789  -8.63021e-05     -0.143104  -0.000782209
       0.0152       292.961  -0.000100767     -0.134037  -0.000713004
    0.0173714       293.109   -0.00011347     -0.124914  -0.000654431
    0.0195429       293.244  -0.000124349     -0.115667    -0.0006052
    0.0217143       293.373  -0.000133427     -0.106232  -0.000564155
    0.0238857         293.5  -0.000140732    -0.0965612  -0.000530305
    0.0260571       293.627  -0.000146432     -0.086521  -0.000502465
    0.0282286        293.76  -0.000150849    -0.0758373  -0.000478928
       0.0304       293.902  -0.000154262    -0.0642884  -0.000457887
    0.0325714       294.055   -0.00015675    -0.0518695  -0.000437973
    0.0347429       294.217  -0.000158177    -0.0387202   -0.00041844
    0.0369143       294.388  -0.000158357    -0.0250051   -0.00039925
    0.0390857       294.567  -0.000157089     -0.010859   -0.00038101
    0.0412571       294.754  -0.000154246    0.00363687   -0.00036476
    0.0434286       294.951  -0.000149862     0.0184212  -0.000351939
       0.0456       295.157  -0.000144031     0.0334063  -0.000344422
    0.0477714       295.373  -0.000136801     0.0484578  -0.000344568
    0.0499429       295.598  -0.000128161     0.0633656   -0.00035546
    0.0521143        295.83  -0.000117987     0.0778526  -0.000380841
    0.0542857       296.069  -0.000106124     0.0916652  -0.000424848
    0.0564571       296.317  -9.28868e-05      0.104788  -0.000492385
    0.0586286       296.585  -7.89218e-05      0.117533  -0.000589754
       0.0608       296.891   -6.5015e-05      0.130289  -0.000723563
    0.0629714       297.256  -5.18161e-05      0.143326   -0.00089867
    0.0651429       297.722  -3.96772e-05      0.156904   -0.00111767
    0.0673143       298.381  -2.90075e-05      0.171323   -0.00137884
    0.0694857        299.47  -1.98448e-05       0.18581   -0.00165468
    0.0716571        301.44   -1.1632e-05      0.188929   -0.00175975
    0.0738286       304.381  -4.39206e-06       0.14175   -0.00127619
        0.076        307.75             0             0             0
